.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10868207_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868207_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868208_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR10868208_2	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR10868209_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868209_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868210_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868210_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868215_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR10868215_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR10868216_1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
SRR10868216_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
SRR10868217_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868217_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868218_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10868218_2	1	1	1	0.25	0.5	1	1	0.25	0.5	1
