Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR10868207_1 - illumina_universal_adapter	(1, 0.24720874750358057)	(2, 0.24739797137759612)	(3, 0.24758942141483536)	(4, 0.24799903544799842)	(5, 0.24814596222076343)	(6, 0.24855335009070278)	(7, 0.24868469372090182)	(8, 0.2489340240019576)	(9, 0.24929688860742272)	(10, 0.24998699920677353)	(12, 0.25068824062224293)	(14, 0.25163881231876806)	(16, 0.2531737518615177)	(18, 0.25987672932811545)	(20, 0.27860766669243076)	(22, 0.2934561753945919)	(24, 0.2972907415474363)	(26, 0.3007312768096837)	(28, 0.303785572752617)	(30, 0.30554535478096156)	(32, 0.30697009924413743)	(34, 0.3083169279944834)	(36, 0.30959140644005867)	(38, 0.31093600902718094)	(40, 0.31237633663292275)	(42, 0.31374654009711767)	(44, 0.3153760915768751)	(46, 0.317404126273677)	(48, 0.31929191268738505)	(50, 0.32149581427886026)	(52, 0.3242807444717244)	(54, 0.3273383796594932)	(56, 0.3304127110714399)	(58, 0.33417492691951367)	(60, 0.3397214125913929)	(62, 0.347172380901158)	(64, 0.366424240459822)	(66, 0.3751930973980248)	(68, 0.3854390136351607)	(70, 0.40028863541893367)	(72, 0.4225680769618464)	(74, 0.4540193109864539)	(76, 0.49137989528840564)	(78, 0.5369561349674677)	(80, 0.6003817513742551)	(82, 0.6976995897804504)	(84, 0.836282702782989)	(86, 1.0019893885032383)	(88, 1.1953572653597249)
SRR10868207_1 - polya	(1, 0.0073396601485794764)	(2, 0.009073841299851363)	(3, 0.009959854262888862)	(4, 0.010707845106056197)	(5, 0.011627250517449379)	(6, 0.012419764625090961)	(7, 0.013446025871222334)	(8, 0.015807985051581094)	(9, 0.01783156742193558)	(10, 0.020333774885388213)	(12, 0.022320625562551447)	(14, 0.024492247787282803)	(16, 0.02659374587046722)	(18, 0.02867743464786194)	(20, 0.031424520065922924)	(22, 0.03394119759032969)	(24, 0.03647568442052615)	(26, 0.03862727117624409)	(28, 0.04090574923571364)	(30, 0.04314972176521564)	(32, 0.04521782740004438)	(34, 0.047186868771417916)	(36, 0.04940412734223537)	(38, 0.05178946123644311)	(40, 0.05432172190341586)	(42, 0.057376017846349145)	(44, 0.06041918297316387)	(46, 0.06408010839455876)	(48, 0.06837215108987608)	(50, 0.073294197977504)	(52, 0.0791178409707354)	(54, 0.08509286306317923)	(56, 0.09065604495923628)	(58, 0.09788996235468941)	(60, 0.10534315682767822)	(62, 0.1261221643578089)	(64, 1.1247745341887025)	(66, 1.2495420782248825)	(68, 1.2566079202969451)	(70, 1.2643538552338522)	(72, 1.271305049899894)	(74, 1.277232209483028)	(76, 1.284759980424011)	(78, 1.2906860269255334)	(80, 1.2955212534474363)	(82, 1.3043335205685014)	(84, 1.3246828785964557)	(86, 1.3419323043353906)	(88, 1.3481677875250087)
SRR10868207_2 - illumina_universal_adapter	(1, 0.2388762185572254)	(2, 0.23900756218742442)	(3, 0.239134453491176)	(4, 0.2394038192412452)	(5, 0.23948173495407515)	(6, 0.23983124258019797)	(7, 0.23993587225171245)	(8, 0.24011396530960943)	(9, 0.24038333105967863)	(10, 0.24095434192656084)	(12, 0.24153203128311418)	(14, 0.2424503236128955)	(16, 0.24390512127959152)	(18, 0.25041664870895)	(20, 0.2683116617827614)	(22, 0.28252571396616444)	(24, 0.28634135773160735)	(26, 0.28988318342053365)	(28, 0.29297643721988187)	(30, 0.29485531898069506)	(32, 0.2964614957466035)	(34, 0.2979085018420165)	(36, 0.2993644125903243)	(38, 0.30088933439856724)	(40, 0.3025110943070417)	(42, 0.30406050391074546)	(44, 0.3058692615300117)	(46, 0.3081243648756323)	(48, 0.3102169583059219)	(50, 0.31256444742532646)	(52, 0.3155252445128638)	(54, 0.31876987741142454)	(56, 0.32207239055380177)	(58, 0.3260182648678318)	(60, 0.331394449053097)	(62, 0.33774680581196004)	(64, 0.3456129535629475)	(66, 0.3541024270165744)	(68, 0.3644863653735805)	(70, 0.37942725984952563)	(72, 0.4015653400277327)	(74, 0.4325546451834198)	(76, 0.46952342475799824)	(78, 0.5145631591001456)	(80, 0.5770938578910005)	(82, 0.6731706102999764)	(84, 0.8091168329640277)	(86, 0.9711180699984079)	(88, 1.1594559310509165)
SRR10868207_2 - polya	(1, 0.010051126955061067)	(2, 0.012497680337920892)	(3, 0.013744331743199783)	(4, 0.014795080784791992)	(5, 0.01631777642981121)	(6, 0.017506547591273583)	(7, 0.019160586866491826)	(8, 0.02304301552864609)	(9, 0.026509151667966153)	(10, 0.030682094630814873)	(12, 0.03415602234141793)	(14, 0.03800951088166393)	(16, 0.04144559381746388)	(18, 0.04539814662116508)	(20, 0.049338455527135866)	(22, 0.05309844521198595)	(24, 0.05710219976983253)	(26, 0.06104362175741517)	(28, 0.0650284539278602)	(30, 0.06905001779149648)	(32, 0.07302371914582295)	(34, 0.07680708354452201)	(36, 0.0809199201003305)	(38, 0.08496597175942762)	(40, 0.08912221849809851)	(42, 0.09383945836914488)	(44, 0.09777197570383267)	(46, 0.10173677240526428)	(48, 0.10575722318728871)	(50, 0.10976654315319458)	(52, 0.11404745503239336)	(54, 0.11927003395522243)	(56, 0.12926105450324327)	(58, 1.0940545947830844)	(60, 1.2139379367064396)	(62, 1.218678551291335)	(64, 1.2236172944031407)	(66, 1.2283690398041547)	(68, 1.2335014591164233)	(70, 1.2393262151912665)	(72, 1.2443339693630073)	(74, 1.2495153642661978)	(76, 1.2589632009876328)	(78, 1.2796965721716775)	(80, 1.2973055232712418)	(82, 1.3042467002027767)	(84, 1.310976391628059)	(86, 1.3174266995687653)	(88, 1.3229320012210062)
SRR10868208_1 - illumina_universal_adapter	(1, 1.5278206602994662)	(2, 1.5279982694741927)	(3, 1.5281636297403174)	(4, 1.5286535860843906)	(5, 1.5288454856524858)	(6, 1.529257865575414)	(7, 1.5294538481130433)	(8, 1.5298111079472634)	(9, 1.5303357695323752)	(10, 1.5310502892008149)	(12, 1.5320812390081358)	(14, 1.5336562445058541)	(16, 1.5356589410622532)	(18, 1.5435400930051464)	(20, 1.5586327898873664)	(22, 1.5681420259319194)	(24, 1.572795590458231)	(26, 1.577324624413757)	(28, 1.5812708144683127)	(30, 1.5840676485990637)	(32, 1.586589903028657)	(34, 1.5887436694578119)	(36, 1.5909290789008548)	(38, 1.5932022721888774)	(40, 1.5956612405906947)	(42, 1.597822152216534)	(44, 1.6002984732388703)	(46, 1.603405613054201)	(48, 1.60643619719077)	(50, 1.6094157442081647)	(52, 1.6133129386283134)	(54, 1.6174050948437078)	(56, 1.6213339322777442)	(58, 1.6258609247485034)	(60, 1.6320098768666216)	(62, 1.6392265255178655)	(64, 1.727121631417438)	(66, 1.7368166425757854)	(68, 1.7455817574227774)	(70, 1.758400240274591)	(72, 1.7758610594864979)	(74, 1.799244226007389)	(76, 1.827164592422874)	(78, 1.8609848498149066)	(80, 1.907482727609832)	(82, 1.9766727293320288)	(84, 2.0756908649844448)	(86, 2.196842778480366)	(88, 2.3406286335876993)
SRR10868208_1 - polya	(1, 0.013226779805208056)	(2, 0.015623482921632544)	(3, 0.01685245675134936)	(4, 0.01770988035347737)	(5, 0.019038886936775787)	(6, 0.02016578652814403)	(7, 0.02162340665176165)	(8, 0.025126594511884665)	(9, 0.028350098958932594)	(10, 0.031912489877297785)	(12, 0.034973696285371475)	(14, 0.038394204012432154)	(16, 0.04148194972247647)	(18, 0.0448136528621739)	(20, 0.04873840732667652)	(22, 0.05220484846099405)	(24, 0.05579684090848032)	(26, 0.058753931593438474)	(28, 0.06219995788008629)	(30, 0.06550920468734701)	(32, 0.06863573860796379)	(34, 0.07170715243987236)	(36, 0.07463770382285988)	(38, 0.07774484363819043)	(40, 0.08101121926534477)	(42, 0.08466241477107321)	(44, 0.08755111571633781)	(46, 0.09049799897746111)	(48, 0.09366842482056778)	(50, 0.09681537358885428)	(52, 0.10030631254037548)	(54, 0.10337772637228401)	(56, 0.10636441858636325)	(58, 0.10956750818574147)	(60, 0.1140710235816805)	(62, 0.13367029808698994)	(64, 3.5874042104725063)	(66, 4.239963795492549)	(68, 4.244202938611165)	(70, 4.249823146174638)	(72, 4.25515652512835)	(74, 4.2594752861528775)	(76, 4.264604516629894)	(78, 4.269790908680385)	(80, 4.27444549394908)	(82, 4.2827247354215325)	(84, 4.296005614573065)	(86, 4.306060947792783)	(88, 4.313270451247343)
SRR10868208_2 - illumina_universal_adapter	(1, 1.5081856598107348)	(2, 1.5083081488967531)	(3, 1.508385725317898)	(4, 1.5086225375508666)	(5, 1.5087123628806134)	(6, 1.5090042952022904)	(7, 1.5091369917121435)	(8, 1.509322766825938)	(9, 1.509592242815178)	(10, 1.5101750867161483)	(12, 1.51098963913817)	(14, 1.5124789022756757)	(16, 1.514435665424818)	(18, 1.5221371667082177)	(20, 1.5364479749246875)	(22, 1.5459500657725562)	(24, 1.550616899949853)	(26, 1.5552735267033149)	(28, 1.5593238324809864)	(30, 1.5622288653043865)	(32, 1.564933832620624)	(34, 1.5672897060417088)	(36, 1.569740508504458)	(38, 1.572329111188978)	(40, 1.5751902520898884)	(42, 1.5776726975665256)	(44, 1.5804491168496069)	(46, 1.5840043625712876)	(48, 1.5874687622208383)	(50, 1.5909300996432383)	(52, 1.5953141881803097)	(54, 1.5998473051053697)	(56, 1.604328364168872)	(58, 1.6093881841638107)	(60, 1.6157239321381067)	(62, 1.62231078273874)	(64, 1.6302358266041233)	(66, 1.6380291947020367)	(68, 1.6474006305248192)	(70, 1.6605375850002806)	(72, 1.678598600733677)	(74, 1.7024829517648596)	(76, 1.7306411511556967)	(78, 1.7647860046256778)	(80, 1.8116227688919206)	(82, 1.8813384529416122)	(84, 1.9804004805165185)	(86, 2.101452361258858)	(88, 2.244377730536913)
SRR10868208_2 - polya	(1, 0.014898755829357678)	(2, 0.017701714414409486)	(3, 0.019118504842687675)	(4, 0.020267860766492604)	(5, 0.02199087390981651)	(6, 0.023493406698307503)	(7, 0.025555306312948674)	(8, 0.030385459271603136)	(9, 0.03453988077239004)	(10, 0.039672173476556286)	(12, 0.04398991375870091)	(14, 0.04884864750409297)	(16, 0.053476693470817266)	(18, 0.05871412264048253)	(20, 0.06404852233657894)	(22, 0.06876843511781694)	(24, 0.07403138284706937)	(26, 0.07888705436531096)	(28, 0.08404282414429737)	(30, 0.08939559720329651)	(32, 0.09468916720405351)	(34, 0.09945705487731535)	(36, 0.10458424386956415)	(38, 0.1099655977153009)	(40, 0.11538471902922663)	(42, 0.12119274319126042)	(44, 0.1263852596960523)	(46, 0.131379752178448)	(48, 0.13642936474955186)	(50, 0.14165760723776577)	(52, 0.14706856261262363)	(54, 0.15285004747268677)	(56, 0.17761631992320098)	(58, 3.799045957006821)	(60, 4.488609494912987)	(62, 4.495980275664138)	(64, 4.503847137213662)	(66, 4.51048196270632)	(68, 4.516872830769324)	(70, 4.525832907411561)	(72, 4.533061804971408)	(74, 4.540405025678204)	(76, 4.552658017249566)	(78, 4.571202864872735)	(80, 4.584453121752763)	(82, 4.5937265663067315)	(84, 4.6028611898965455)	(86, 4.611475234870781)	(88, 4.61921450362237)
SRR10868209_1 - illumina_universal_adapter	(1, 0.032081058762384235)	(2, 0.032129012512402744)	(3, 0.03217132464477202)	(4, 0.03232082751247679)	(5, 0.03234621479189836)	(6, 0.032442122291935375)	(7, 0.032467509571356946)	(8, 0.03249853846842774)	(9, 0.0325690586890432)	(10, 0.03268753265967717)	(12, 0.03285396038032966)	(14, 0.033037312953929844)	(16, 0.033215023909880806)	(18, 0.03340260769671792)	(20, 0.03363532442474893)	(22, 0.03393433016015847)	(24, 0.03422628387350647)	(26, 0.03454080405745141)	(28, 0.03499918549145189)	(30, 0.03546320854310161)	(32, 0.03596813332270829)	(34, 0.03649703497732422)	(36, 0.03712184413197718)	(38, 0.03833902313979999)	(40, 0.039121797588631574)	(42, 0.04004138126545716)	(44, 0.04106674527320591)	(46, 0.042200710420702475)	(48, 0.04369997031098712)	(50, 0.04580852490738932)	(52, 0.04868151869526309)	(54, 0.05205238524068199)	(56, 0.056172176529037054)	(58, 0.06161069594290119)	(60, 0.0693524057620662)	(62, 0.08479069245920229)	(64, 0.0986309909571921)	(66, 0.11699586680986973)	(68, 0.14185424457681872)	(70, 0.17639504863427014)	(72, 0.2254418620723213)	(74, 0.2918352393773629)	(76, 0.3769108335278516)	(78, 0.4928206889402433)	(80, 0.6535757630464172)	(82, 0.8708570251891177)	(84, 1.1597840106682988)	(86, 1.5241253200736513)	(88, 1.9874163718333775)
SRR10868209_1 - polya	(1, 0.0027107972804582122)	(2, 0.003768600589690085)	(3, 0.004135305736890468)	(4, 0.004493548457616995)	(5, 0.004967444340152873)	(6, 0.00524388360496547)	(7, 0.005796762134590662)	(8, 0.006961756179158031)	(9, 0.008188808017867004)	(10, 0.00991091180529649)	(12, 0.011166171732251647)	(14, 0.012640044343114724)	(16, 0.013813500814155947)	(18, 0.015261986145597458)	(20, 0.017256297984602615)	(22, 0.019136367066210733)	(24, 0.02056792754470453)	(26, 0.022089753905586117)	(28, 0.023580551369396904)	(30, 0.024993776590530686)	(32, 0.026131972951264182)	(34, 0.027377360047333172)	(36, 0.028687625746368385)	(38, 0.03002750993806209)	(40, 0.03132931321062345)	(42, 0.03253238817432316)	(44, 0.03383701225570914)	(46, 0.03513317391062126)	(48, 0.03650126619056115)	(50, 0.03783409836019331)	(52, 0.03914577446364083)	(54, 0.04062387828774083)	(56, 0.041908756707354486)	(58, 0.04331069869318979)	(60, 0.044953819833529966)	(62, 0.04650949590030698)	(64, 0.0557490552053443)	(66, 0.4780551651477787)	(68, 0.4923651283150674)	(70, 0.4940971049333831)	(72, 0.49553853824276306)	(74, 0.4967994397873674)	(76, 0.4982027921776151)	(78, 0.499489081001641)	(80, 0.5007965258918516)	(82, 0.5018627916275573)	(84, 0.5029854735397554)	(86, 0.5041504675843228)	(88, 0.5054240627686379)
