Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10868207_1	(1, 0.16266129443021085)	(2, 0.010821379430465523)	(3, 0.00014692677276501227)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00019812852691039533)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.002000207656505508)	(18, 0.0)	(20, 0.0004986605621115568)	(22, 0.0)	(24, 4.5636346086102296e-05)	(26, 0.0026146287062501043)	(28, 0.0006700751303374044)	(30, 2.894012190825999e-05)	(32, 0.0018499416389049271)	(34, 0.0)	(36, 0.0007157114764235067)	(38, 0.0008325850456684028)	(40, 0.002305192018154094)	(42, 0.0007602347408977529)	(44, 0.0018978041482147418)	(46, 0.001645134622323395)	(48, 0.0004196317676697699)	(50, 2.2261632237123073e-06)	(52, 0.0005609931323755014)	(54, 0.0014414406873537189)	(56, 6.45587334876569e-05)	(58, 0.001681866315514648)	(60, 0.00012021281408046459)	(62, 8.459420250106767e-05)	(64, 0.000854846677905526)	(66, 0.00016250991533099841)	(68, 0.0006199864578038775)	(70, 0.0010407313070855035)	(72, 2.7827040296403838e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.8922387401554608e-05)	(84, 0.002021356207130775)	(86, 0.0)	(88, 6.678489671136921e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 7.012414154693767e-05)	(98, 0.0)	(100, 0.0)
SRR10868207_2	(1, 0.1902746230571383)	(2, 0.0005921594175074737)	(3, 0.006763083873637988)	(4, 0.000674527456784829)	(5, 0.012163755854364047)	(6, 0.0014291967896233012)	(7, 0.0003561861157939691)	(8, 0.0034327436909643775)	(9, 7.568954960621843e-05)	(10, 0.005769101994250444)	(12, 0.0006400219268172883)	(14, 0.006717447527551887)	(16, 0.002256216427232423)	(18, 0.01049858576302724)	(20, 0.002778251703192959)	(22, 0.003827887663173312)	(24, 0.010943818407769703)	(26, 0.010684470392207218)	(28, 0.00545187373487144)	(30, 0.0076947331827615885)	(32, 0.004758423890685056)	(34, 0.016626100036295367)	(36, 0.007485473839732633)	(38, 0.00508455680295891)	(40, 0.0060985741513598654)	(42, 0.010960514631947544)	(44, 0.009230785807123082)	(46, 0.005840339217409238)	(48, 0.00558210428345861)	(50, 0.011374580991558032)	(52, 0.011070709711521303)	(54, 0.008853451140703844)	(56, 0.0067731016081446944)	(58, 0.011157530077246083)	(60, 0.009978776650290417)	(62, 0.008833415671690435)	(64, 0.009280874479656608)	(66, 0.004802947155159302)	(68, 0.006695185895314764)	(70, 0.008236803927735535)	(72, 0.010106781035653873)	(74, 0.010434027029539583)	(76, 0.008746595305965655)	(78, 0.01080802245112325)	(80, 0.006244387842513022)	(82, 0.008539562126160409)	(84, 0.004339905204627143)	(86, 0.004356601428804985)	(88, 0.00378225131708721)	(90, 0.004553616874103524)	(92, 0.0029463270265832385)	(94, 0.0006066294784616037)	(96, 0.0003517337893465445)	(98, 0.00012577822213974535)	(100, 6.678489671136922e-06)
SRR10868208_1	(1, 0.17308320299814087)	(2, 0.011887565798074783)	(3, 0.00011432314695040147)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00021435590053200276)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.002019028434534769)	(18, 0.0)	(20, 0.0006124454300914365)	(22, 0.0)	(24, 4.899563440731491e-05)	(26, 0.0026723035599656346)	(28, 0.0007727019842986957)	(30, 2.8580786737600367e-05)	(32, 0.002082314462310884)	(34, 0.0)	(36, 0.0008798799345646972)	(38, 0.000865589541195897)	(40, 0.002276255515173172)	(42, 0.000940103735190355)	(44, 0.0018934771213660244)	(46, 0.0016770797360670501)	(48, 0.0004909770864566349)	(50, 0.0)	(52, 0.000655316610197837)	(54, 0.0015035535308744765)	(56, 8.574236021280111e-05)	(58, 0.001815900700221109)	(60, 0.00015311135752285913)	(62, 8.472161782931538e-05)	(64, 0.0008941703279334972)	(66, 0.00019598253762925964)	(68, 0.0006573580949648085)	(70, 0.0010615720788251565)	(72, 2.4497817203657455e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 2.756004435411464e-05)	(84, 0.002027194373602655)	(86, 0.0)	(88, 7.349345161097238e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 7.757642114491529e-05)	(98, 0.0)	(100, 0.0)
SRR10868208_2	(1, 0.20065753774562428)	(2, 0.0006349017625281225)	(3, 0.006789978334947058)	(4, 0.0007573908485464097)	(5, 0.012638832192320275)	(6, 0.001696473841353279)	(7, 0.0004062554686273195)	(8, 0.003441943317113873)	(9, 8.574236021280111e-05)	(10, 0.005758007785242989)	(12, 0.0007624945604638384)	(14, 0.007000251265945118)	(16, 0.002490611415705175)	(18, 0.010783122539143224)	(20, 0.003084683482893868)	(22, 0.004079907306792452)	(24, 0.01109751119325683)	(26, 0.010794350705361569)	(28, 0.005611020882021043)	(30, 0.007853591898539188)	(32, 0.005038384404885551)	(34, 0.01684531155466496)	(36, 0.0077453932058897)	(38, 0.005284383319305611)	(40, 0.006330644262378482)	(42, 0.011186315780620086)	(44, 0.00932448167314212)	(46, 0.006037691198318078)	(48, 0.005803941192499846)	(50, 0.011516015570485977)	(52, 0.01111180158662563)	(54, 0.009193826648055948)	(56, 0.00704516393081849)	(58, 0.011351676046744774)	(60, 0.010049208765416987)	(62, 0.008940682536951487)	(64, 0.00961131028290161)	(66, 0.005098608205511208)	(68, 0.006884907376611233)	(70, 0.00855994562791131)	(72, 0.01020844457724076)	(74, 0.010654508998824022)	(76, 0.008975387777990002)	(78, 0.011033204423097229)	(80, 0.006422511076892196)	(82, 0.008675289517245197)	(84, 0.004537199894594058)	(86, 0.004506577623089487)	(88, 0.003812472802319192)	(90, 0.004617838542889431)	(92, 0.0030550819537727824)	(94, 0.0006941048207702947)	(96, 0.0003143886541136041)	(98, 0.00011840611648434438)	(100, 4.0829695339429095e-06)
SRR10868209_1	(1, 0.03667051472003825)	(2, 0.0)	(3, 5.923698531698487e-05)	(4, 5.641617649236654e-05)	(5, 0.003949132354465658)	(6, 0.0008406010297362615)	(7, 0.006823536546751733)	(8, 0.00022284389714484783)	(9, 0.0018617338242480957)	(10, 1.8335257360019123e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 1.4104044123091634e-06)	(28, 0.0)	(30, 0.0)	(32, 0.0006431444120129785)	(34, 0.0007912368753054408)	(36, 0.005779837281642952)	(38, 0.005289016546159363)	(40, 0.0005063351840189896)	(42, 0.0)	(44, 0.0)	(46, 0.0027897799275475254)	(48, 0.023625684310590797)	(50, 0.04594110292214638)	(52, 0.05764322833107552)	(54, 0.0761420926029225)	(56, 0.08781318911478084)	(58, 0.10515411136412199)	(60, 0.10834585654917762)	(62, 0.10792837684313412)	(64, 0.09672694500057474)	(66, 0.08692181352620143)	(68, 0.0861319870553083)	(70, 0.08473709709153454)	(72, 0.08110107451660152)	(74, 0.0688926139236534)	(76, 0.05995629156726254)	(78, 0.06603231377549042)	(80, 0.06301122752432418)	(82, 0.051476940240459845)	(84, 0.03215439979182431)	(86, 0.0166230264034758)	(88, 0.008325617245860992)	(90, 0.007272045149866048)	(92, 0.0010648553312934184)	(94, 0.00016924852947709963)	(96, 2.538727942156494e-05)	(98, 1.4104044123091634e-06)	(100, 5.641617649236654e-06)
SRR10868209_2	(1, 0.07716604620625896)	(2, 0.0865480563569395)	(3, 0.09038153554959581)	(4, 0.10515411136412199)	(5, 0.11316802923486266)	(6, 0.11418069960290064)	(7, 0.11834139261921266)	(8, 0.11511156651502469)	(9, 0.12375170394483062)	(10, 0.1328121418895047)	(12, 0.14510945796042826)	(14, 0.14266663751830883)	(16, 0.14008418703937073)	(18, 0.14271741207715194)	(20, 0.14255239476091175)	(22, 0.13436076593422014)	(24, 0.13000402670459715)	(26, 0.12740606177712366)	(28, 0.10919492000538773)	(30, 0.1029073371353135)	(32, 0.0893025761741793)	(34, 0.08752969782790668)	(36, 0.07135094881430827)	(38, 0.056929563698447073)	(40, 0.03371430707183824)	(42, 0.03889754328707442)	(44, 0.030578978063274975)	(46, 0.02301638960447324)	(48, 0.024673614788936503)	(50, 0.013764136659725127)	(52, 0.03214170615211352)	(54, 0.01551021732216387)	(56, 0.021567904273031728)	(58, 0.018130748720234298)	(60, 0.01174866875453533)	(62, 0.028171417731463227)	(64, 0.02798383394462611)	(66, 0.042513820200235114)	(68, 0.05134013101246586)	(70, 0.05662914755862523)	(72, 0.06386593259818353)	(74, 0.06151619884727647)	(76, 0.03494276931495953)	(78, 0.03036882780584091)	(80, 0.02842670093009119)	(82, 0.013532830336106423)	(84, 0.016730217138811298)	(86, 0.023886609126867995)	(88, 0.010108368423019775)	(90, 0.025844250451153114)	(92, 0.008088669304593052)	(94, 0.01942832077955873)	(96, 0.04711173858436299)	(98, 0.05975883494953926)	(100, 0.04047296501562375)
SRR10868210_1	(1, 0.03285496026897287)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0010677008901773346)	(6, 0.006123435242295581)	(7, 6.825485142686158e-05)	(8, 0.0038954018778616)	(9, 0.00014626039591470336)	(10, 2.4376732652450562e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0016503048005709032)	(36, 0.0031238782894115395)	(38, 3.6565098978675844e-06)	(40, 1.0969529693602753e-05)	(42, 0.0)	(44, 3.6565098978675844e-06)	(46, 0.0031921331408384015)	(48, 0.024763103864991903)	(50, 0.04581363134701558)	(52, 0.06262016967424763)	(54, 0.08019579391666448)	(56, 0.09992875899882321)	(58, 0.11573707012393741)	(60, 0.11612344133647874)	(62, 0.1100987318614256)	(64, 0.10429950716340759)	(66, 0.0910117501945568)	(68, 0.08574028175846436)	(70, 0.08488343960573073)	(72, 0.08081008757950624)	(74, 0.07059623659812946)	(76, 0.0637817209851369)	(78, 0.06230570982303102)	(80, 0.06176820286804448)	(82, 0.050134407209662446)	(84, 0.03421274427771436)	(86, 0.019450194983390304)	(88, 0.012970859444368946)	(90, 0.009638560090778953)	(92, 0.0031884766309405337)	(94, 0.0032433242794085476)	(96, 0.0010372299743617716)	(98, 0.0017112466322020297)	(100, 0.005606648510063629)
SRR10868210_2	(1, 0.06568798147855853)	(2, 0.09094958952629305)	(3, 0.09679513001635069)	(4, 0.10077341278523061)	(5, 0.10596321916693735)	(6, 0.11355169604164521)	(7, 0.12058682108514243)	(8, 0.12256621177652142)	(9, 0.12394349717138489)	(10, 0.13223524278311594)	(12, 0.14163856740379877)	(14, 0.14865175338790879)	(16, 0.14316333203120954)	(18, 0.137627376045838)	(20, 0.13793939822378937)	(22, 0.13116266654640812)	(24, 0.12322560239477022)	(26, 0.11153574025128754)	(28, 0.09983368974147866)	(30, 0.08716875829189796)	(32, 0.07817496277977633)	(34, 0.07301318964061992)	(36, 0.06014349363675865)	(38, 0.048559670280314146)	(40, 0.03163246712645248)	(42, 0.02594659423526838)	(44, 0.02267889322320738)	(46, 0.01922105369645727)	(48, 0.01915889302819352)	(50, 0.017773075776901705)	(52, 0.016389696198875134)	(54, 0.023022605153606934)	(56, 0.020469142408262735)	(58, 0.021616067679560536)	(60, 0.012738061647538042)	(62, 0.02233152478290996)	(64, 0.02430360245449321)	(66, 0.04276166441892878)	(68, 0.03765717660150563)	(70, 0.047439559414934045)	(72, 0.052696401811435006)	(74, 0.04933363154202945)	(76, 0.02753351953094291)	(78, 0.02224011203546327)	(80, 0.030217397795977714)	(82, 0.019726870898995618)	(84, 0.01668587350060241)	(86, 0.02907778554447565)	(88, 0.02657917044759947)	(90, 0.02410493208337574)	(92, 0.01868232790483811)	(94, 0.028144156683886794)	(96, 0.03462471105954078)	(98, 0.04283845112678399)	(100, 0.03301584670447904)
SRR10868215_1	(1, 0.0333184620177787)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0030945766704453515)	(7, 0.0006071637771126956)	(8, 0.0035058811646184684)	(9, 0.0005903758385750174)	(10, 4.196984634419555e-05)	(12, 0.0)	(14, 9.792964146978962e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0007428662802922612)	(32, 0.001660606920352004)	(34, 0.0018578651981697228)	(36, 0.003894801740741347)	(38, 0.00339396157436728)	(40, 0.00010352562098234902)	(42, 0.0)	(44, 0.00011611657488560768)	(46, 0.006242315146260017)	(48, 0.02799668550133471)	(50, 0.048219156464846265)	(52, 0.06679501045678722)	(54, 0.0841677288535279)	(56, 0.10075421212875399)	(58, 0.11491763627504183)	(60, 0.11946297063411822)	(62, 0.11083956620526417)	(64, 0.09975532978576211)	(66, 0.09577518935745424)	(68, 0.09187339264232221)	(70, 0.09008267919830319)	(72, 0.08672229350101125)	(74, 0.07708461778550582)	(76, 0.06688034914435374)	(78, 0.06547435929182319)	(80, 0.06312404789654824)	(82, 0.05365145357666331)	(84, 0.040240688674814694)	(86, 0.028377212108188752)	(88, 0.021467576405056022)	(90, 0.01687327722524475)	(92, 0.007804992425142233)	(94, 0.0028903234182369336)	(96, 0.0024356500828414816)	(98, 0.0007134873878513243)	(100, 0.00041130449417311636)
SRR10868215_2	(1, 0.07088147449583372)	(2, 0.08799397984524039)	(3, 0.09650266669408697)	(4, 0.09994139610455471)	(5, 0.10492741385024515)	(6, 0.12059056050589895)	(7, 0.1248966667408134)	(8, 0.12482112101739386)	(9, 0.12801642531906526)	(10, 0.1372749734225948)	(12, 0.14754919180765388)	(14, 0.15119777044984262)	(16, 0.14459311563014438)	(18, 0.14039752999060295)	(20, 0.13895936325587518)	(22, 0.1391915964056464)	(24, 0.1301484935133504)	(26, 0.11988826507707273)	(28, 0.11033313005937755)	(30, 0.0953946627506002)	(32, 0.08729308341129233)	(34, 0.08047438237523868)	(36, 0.0716495226839325)	(38, 0.05970770240413072)	(40, 0.044706280325837094)	(42, 0.0422804232071426)	(44, 0.037837215474170426)	(46, 0.04444606727850309)	(48, 0.03952020631257267)	(50, 0.037611977298789914)	(52, 0.03352971024437783)	(54, 0.02865421309406044)	(56, 0.04261338398813988)	(58, 0.027722482505219297)	(60, 0.028789915597240007)	(62, 0.036075880922592354)	(64, 0.030169324547085898)	(66, 0.039702075646730846)	(68, 0.05197405871777363)	(70, 0.06046176064344811)	(72, 0.06858852189056251)	(74, 0.0662046346182122)	(76, 0.043318477406722365)	(78, 0.04254903022374545)	(80, 0.03181034553914395)	(82, 0.022340549209015292)	(84, 0.02151794022066906)	(86, 0.027886164905961665)	(88, 0.02989372255609235)	(90, 0.03249445403455434)	(92, 0.022453867794144617)	(94, 0.03320514343264938)	(96, 0.048354858968025834)	(98, 0.059051573806283134)	(100, 0.04696425805915482)
