Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR10868207_1	(1, 31.777565555164145)	(2, 31.783497055765565)	(3, 36.08101088112965)	(4, 36.530976682810206)	(5, 36.636189052548495)	(6, 40.32685443403629)	(7, 40.412964765000865)	(8, 40.44929931067301)	(9, 40.45008225227879)	(10, 40.43829731148939)	(12, 40.424693795700904)	(14, 40.358739814412786)	(16, 40.33726304941263)	(18, 40.279913923618025)	(20, 40.17954049809423)	(22, 40.020317913472425)	(24, 39.99690354052561)	(26, 39.87257437255144)	(28, 39.578289396588666)	(30, 39.62537677812561)	(32, 39.55130479211019)	(34, 39.624573801050815)	(36, 39.56397540080733)	(38, 39.58006033169475)	(40, 39.50594762915398)	(42, 39.422327796034295)	(44, 39.34718169739425)	(46, 39.134013067043846)	(48, 38.81470416873106)	(50, 38.66989016956596)	(52, 38.36589005033266)	(54, 38.1595977599099)	(56, 37.827167354669825)	(58, 37.50308510604195)	(60, 37.332412250878974)	(62, 37.15782148201207)	(64, 37.214779103611335)	(66, 37.344186138767974)	(68, 37.34586184974218)	(70, 37.387866655761435)	(72, 37.477988098753315)	(74, 37.48281346337213)	(76, 36.31530085839073)	(78, 37.04362950446319)	(80, 37.99238375020169)	(82, 38.31550487511937)	(84, 38.379947080093075)	(86, 38.49179518603779)	(88, 38.59529290920709)	(90, 38.70014598733189)	(92, 38.80005197423279)	(94, 38.790906172206725)	(96, 38.937111478863386)	(98, 38.94161117806421)	(100, 38.98270482660682)
SRR10868207_2	(1, 31.447583851554448)	(2, 31.457418907107016)	(3, 35.53331707046893)	(4, 36.07511154858681)	(5, 36.21731044042057)	(6, 39.68591310180761)	(7, 39.82525235341071)	(8, 39.83858473364936)	(9, 39.835195311094736)	(10, 39.85553074447172)	(12, 39.883943889021666)	(14, 39.80290017198446)	(16, 39.785682491333105)	(18, 39.77283565955517)	(20, 39.767324258215694)	(22, 39.749965917441045)	(24, 39.769059285309)	(26, 39.74448887693093)	(28, 39.69882346828394)	(30, 39.6598795810432)	(32, 39.560974276772995)	(34, 39.599863244567004)	(36, 39.58110451355484)	(38, 39.617739635785455)	(40, 39.573100655346835)	(42, 39.54105726190472)	(44, 39.55033719026501)	(46, 39.5529099337102)	(48, 39.5328393914952)	(50, 39.461589813130516)	(52, 39.45761295062441)	(54, 39.48119898301741)	(56, 39.42352241087422)	(58, 39.37978890006522)	(60, 39.36079172471017)	(62, 39.324926665731084)	(64, 39.33118703742554)	(66, 39.31726625998523)	(68, 39.12512230540751)	(70, 39.031924238055566)	(72, 38.99684921101213)	(74, 38.93866458389804)	(76, 38.28993609932036)	(78, 38.61095573728567)	(80, 38.86245813032209)	(82, 38.84467036266158)	(84, 38.79354206077176)	(86, 38.77405816822029)	(88, 38.67004587855264)	(90, 38.70334409341907)	(92, 38.64793266461765)	(94, 38.56157876913477)	(96, 38.48681830874996)	(98, 38.349440874618566)	(100, 38.28824877890495)
SRR10868208_1	(1, 31.749330985027015)	(2, 31.774994285884137)	(3, 36.074930473153294)	(4, 36.51270554791451)	(5, 36.621436394398195)	(6, 40.30297853035798)	(7, 40.39361561569262)	(8, 40.43006497882695)	(9, 40.42934084376525)	(10, 40.43831130135753)	(12, 40.42128203161052)	(14, 40.424044997508986)	(16, 40.415182422179214)	(18, 40.41155504059329)	(20, 40.39535579772283)	(22, 40.389876340326616)	(24, 40.379397715447894)	(26, 40.346904433361814)	(28, 40.31433580007299)	(30, 40.288936667344714)	(32, 40.274862783642874)	(34, 40.254103690604325)	(36, 40.21969766998811)	(38, 40.22285466286145)	(40, 39.96614201596947)	(42, 39.92623388768355)	(44, 40.140422172108764)	(46, 40.05817504817291)	(48, 40.01356600312151)	(50, 40.03310176703572)	(52, 39.95435031829606)	(54, 39.8880864379349)	(56, 39.86476231115347)	(58, 39.85707172160615)	(60, 39.86115960091096)	(62, 39.803985186496575)	(64, 39.76709402564383)	(66, 39.74814443325076)	(68, 39.72245429707637)	(70, 39.653099108614256)	(72, 39.67167979450251)	(74, 39.059341409664825)	(76, 38.227913462114)	(78, 38.382786243316076)	(80, 38.62303565273495)	(82, 38.64200738503031)	(84, 38.5561370135152)	(86, 38.550452866648826)	(88, 38.50285040269104)	(90, 38.48301758232839)	(92, 38.4762110577594)	(94, 38.42193415329705)	(96, 38.400539699161904)	(98, 38.42342021130347)	(100, 38.376706324005355)
SRR10868208_2	(1, 31.081461080848594)	(2, 31.34191278875067)	(3, 35.12586717169189)	(4, 35.94203634757471)	(5, 36.12548955825454)	(6, 39.60398390444414)	(7, 39.66508932026642)	(8, 39.82385730544099)	(9, 39.79012319870613)	(10, 39.712744913865265)	(12, 39.8256789835431)	(14, 39.6347080970757)	(16, 39.70082653185463)	(18, 39.680544217375996)	(20, 39.66650284431907)	(22, 39.63691997436875)	(24, 39.637060949099336)	(26, 39.70027371819458)	(28, 39.59289397736679)	(30, 39.60342792648271)	(32, 39.558930326084734)	(34, 39.424622574379256)	(36, 39.54181590600808)	(38, 39.54417902670009)	(40, 39.520813580266974)	(42, 39.407451921604704)	(44, 39.37016974496711)	(46, 39.345142274748085)	(48, 39.326441723081736)	(50, 39.23640288465064)	(52, 39.17202167174901)	(54, 39.26197153206654)	(56, 39.24159183876451)	(58, 39.165271573818984)	(60, 39.14758998844438)	(62, 39.103380512998996)	(64, 39.128075782609315)	(66, 39.1243589839906)	(68, 38.4099646729227)	(70, 37.996634612361646)	(72, 37.955869968934316)	(74, 37.886944911105175)	(76, 37.102108688404016)	(78, 37.434780675942136)	(80, 37.70014268549482)	(82, 37.665057656837675)	(84, 37.61453104155164)	(86, 37.602208629290786)	(88, 37.508446857579244)	(90, 37.53034269016574)	(92, 37.490705385249)	(94, 37.40054568071227)	(96, 37.32382950041846)	(98, 37.17733275768907)	(100, 37.09904514449588)
SRR10868209_1	(1, 32.23323431824224)	(2, 32.243521102823415)	(3, 32.251977577390655)	(4, 32.26070394694623)	(5, 32.271650800792365)	(6, 35.62052592570131)	(7, 35.958315977131704)	(8, 36.07206072073076)	(9, 36.1301741778929)	(10, 35.98917408833222)	(12, 36.11781387316092)	(14, 36.14356029796204)	(16, 36.13929118715855)	(18, 36.14264605971793)	(20, 36.129469257767624)	(22, 36.110983355112324)	(24, 36.10603483839939)	(26, 36.00653293682164)	(28, 36.01507141230141)	(30, 35.966775258403715)	(32, 35.9694593426246)	(34, 35.89821296119342)	(36, 35.9401138901563)	(38, 35.92184366654372)	(40, 35.85727021867615)	(42, 35.74568449394337)	(44, 35.692777981894636)	(46, 35.78838877515545)	(48, 35.7611418916203)	(50, 35.67516458361688)	(52, 35.64723183452007)	(54, 35.63073323399385)	(56, 35.58406685881076)	(58, 35.42928542565652)	(60, 35.486164510981055)	(62, 35.50390064265077)	(64, 35.416287364257386)	(66, 35.460765525202866)	(68, 35.43783055824512)	(70, 35.48609802451706)	(72, 35.46219746649055)	(74, 35.46579000629745)	(76, 35.343162775478426)	(78, 35.27967559288113)	(80, 35.30723354110941)	(82, 35.326821674812926)	(84, 35.30336595833806)	(86, 35.279164095616956)	(88, 35.314983628730786)	(90, 35.31242862472171)	(92, 35.288494470862105)	(94, 35.25145867550332)	(96, 35.237770404496935)	(98, 35.18952361475368)	(100, 35.17837494614018)
SRR10868209_2	(1, 32.11300205284362)	(2, 32.0981730608526)	(3, 32.09256402354529)	(4, 32.08361557171096)	(5, 32.01637930852103)	(6, 35.61472058830789)	(7, 35.68562003846173)	(8, 35.66515439344501)	(9, 35.65430702952611)	(10, 35.563112818954146)	(12, 35.58153908971089)	(14, 35.559572844919686)	(16, 35.54711573002885)	(18, 35.54284320604668)	(20, 35.54234646161267)	(22, 35.555052809067206)	(24, 35.5474970892779)	(26, 35.5659267026931)	(28, 35.509726191139414)	(30, 35.54475173708933)	(32, 35.582254192956015)	(34, 35.57510211680547)	(36, 35.60317766934902)	(38, 35.61074653410746)	(40, 35.612383773861396)	(42, 35.62265175775176)	(44, 35.62383044682317)	(46, 35.60403913026001)	(48, 35.58835128660616)	(50, 35.58599079146959)	(52, 35.57737360131958)	(54, 35.576996501491855)	(56, 35.55981753598118)	(58, 35.55196752120719)	(60, 35.53893266235694)	(62, 35.524830479967676)	(64, 35.46835616660543)	(66, 35.409213833528554)	(68, 35.329835906498644)	(70, 35.29671920188035)	(72, 35.26830155574659)	(74, 35.25743172408541)	(76, 35.27979075240139)	(78, 35.277816835010185)	(80, 35.27275877218654)	(82, 35.23040669716431)	(84, 35.23506018548228)	(86, 35.19296952891787)	(88, 35.15903110858492)	(90, 35.13097727626931)	(92, 35.09394880090943)	(94, 35.05061951308608)	(96, 34.97774806369104)	(98, 34.932184469613894)	(100, 34.89285908014835)
SRR10868210_1	(1, 32.012442103736404)	(2, 32.0804318094422)	(3, 32.07003262216247)	(4, 32.06885603040754)	(5, 32.07730147131864)	(6, 35.38816180543833)	(7, 35.762331390710884)	(8, 35.85819479325179)	(9, 35.928063896291626)	(10, 35.94435369664009)	(12, 35.942759933670914)	(14, 35.94135108040726)	(16, 35.9323337735365)	(18, 35.93365879521656)	(20, 35.91792311456638)	(22, 35.913174441727115)	(24, 35.90146747930568)	(26, 35.84695236603614)	(28, 35.769264304114365)	(30, 35.78951681049955)	(32, 35.75476776591511)	(34, 35.745092835739214)	(36, 35.72949501770056)	(38, 35.697617015934455)	(40, 35.66552803354726)	(42, 35.640735385082294)	(44, 35.59695463916646)	(46, 35.576905580992)	(48, 35.501227149098455)	(50, 35.45432768057217)	(52, 35.40121890976282)	(54, 35.355599524409946)	(56, 35.28307022510084)	(58, 35.2264122020173)	(60, 35.20281464724735)	(62, 35.20282515361912)	(64, 35.18722110732527)	(66, 35.19329170599954)	(68, 35.18033358339798)	(70, 35.16749712506909)	(72, 35.123303632315995)	(74, 35.1104001745374)	(76, 35.07991718005081)	(78, 35.06624122361447)	(80, 35.056758394280244)	(82, 35.0415489097811)	(84, 34.99936479110055)	(86, 35.01713803751457)	(88, 34.99731759652729)	(90, 34.98368549383299)	(92, 34.93731475663793)	(94, 34.92877684259152)	(96, 34.85543303132593)	(98, 34.82652873498774)	(100, 34.83099794077551)
SRR10868210_2	(1, 31.801735989015846)	(2, 31.846963579333163)	(3, 31.79749785027689)	(4, 31.797509307341237)	(5, 31.815153771476663)	(6, 35.22806030072356)	(7, 35.3237246916191)	(8, 35.28023730749237)	(9, 35.270425648223025)	(10, 35.23819663369511)	(12, 35.189235710206965)	(14, 35.14055788590348)	(16, 35.1237952744485)	(18, 35.11401447612269)	(20, 35.11135939896728)	(22, 35.13183401395202)	(24, 35.147529399863124)	(26, 35.13322861901544)	(28, 35.142036505375984)	(30, 35.13921461823904)	(32, 35.15150796296443)	(34, 35.1651468058253)	(36, 35.187323209269984)	(38, 35.180645910285094)	(40, 35.19979083544548)	(42, 35.21328633092999)	(44, 35.22518558920696)	(46, 35.19780910458776)	(48, 35.18282789600154)	(50, 35.17500920526367)	(52, 35.1663849853953)	(54, 35.15118243607659)	(56, 35.13284425888334)	(58, 35.11866924978777)	(60, 35.112124292084445)	(62, 35.086988480165566)	(64, 35.070060253188934)	(66, 35.027337457470225)	(68, 34.980851296446055)	(70, 34.94903461435095)	(72, 34.91196953639721)	(74, 34.88545444019138)	(76, 34.90453733875553)	(78, 34.91103128814578)	(80, 34.90219857408302)	(82, 34.88843861542596)	(84, 34.857037337231986)	(86, 34.830811044366264)	(88, 34.778465618751554)	(90, 34.722309695418815)	(92, 34.71098006044211)	(94, 34.653962273349705)	(96, 34.56038601774992)	(98, 34.49478513433713)	(100, 34.47928132516794)
SRR10868215_1	(1, 32.18165990462492)	(2, 32.20410725310293)	(3, 32.19620178486564)	(4, 32.10725830719661)	(5, 32.17083008941396)	(6, 35.51022596705171)	(7, 35.751462796039554)	(8, 35.936822846257876)	(9, 36.04067420920765)	(10, 36.06234497562881)	(12, 36.10187251267455)	(14, 36.08740410764482)	(16, 36.08143893338392)	(18, 36.08193224695785)	(20, 36.0794674278318)	(22, 36.05142415580103)	(24, 36.040031972628945)	(26, 35.98750340830127)	(28, 35.96725702851529)	(30, 35.95452041126532)	(32, 35.91994180461106)	(34, 35.918046362410465)	(36, 35.901866622906105)	(38, 35.8466543387238)	(40, 35.84038064412242)	(42, 35.680427823825696)	(44, 35.451278450484466)	(46, 35.69031668907157)	(48, 35.65669923386844)	(50, 35.62471616842164)	(52, 35.569739405027065)	(54, 35.52363821488813)	(56, 35.45987958291486)	(58, 35.38002986574266)	(60, 35.365587635907104)	(62, 35.362127333995616)	(64, 35.337732612627136)	(66, 35.31517649229734)	(68, 35.282754911906)	(70, 35.23441654708758)	(72, 35.187837348378686)	(74, 35.20869827863473)	(76, 34.88255871686428)	(78, 34.697540678923815)	(80, 34.680879223513074)	(82, 34.651733585488174)	(84, 34.623637865139415)	(86, 34.61893819366538)	(88, 34.574648548004205)	(90, 34.610175966974765)	(92, 34.59440585317073)	(94, 34.57548765114216)	(96, 34.54998422633275)	(98, 34.502935762771884)	(100, 34.4721102396772)
SRR10868215_2	(1, 31.859446929758846)	(2, 31.847864063584876)	(3, 31.80872827308492)	(4, 31.78784013237849)	(5, 31.81962605146706)	(6, 35.25448080572032)	(7, 35.263571866157044)	(8, 35.31514060807872)	(9, 35.27915697687839)	(10, 35.253935967165035)	(12, 35.2070580970396)	(14, 35.12445174439972)	(16, 35.07090073865531)	(18, 35.090856085536785)	(20, 35.11702822989795)	(22, 35.19608569627066)	(24, 35.06840740801364)	(26, 35.1527452126745)	(28, 35.15417583882684)	(30, 35.15125519918959)	(32, 35.16949631567704)	(34, 35.17501523855171)	(36, 35.181454867935585)	(38, 35.192853108755486)	(40, 35.23994008664535)	(42, 35.24195084799375)	(44, 35.2390485911492)	(46, 35.15875134950544)	(48, 35.16679850794398)	(50, 35.16449600020369)	(52, 35.127054840179525)	(54, 35.12200064941342)	(56, 35.10150011422793)	(58, 35.07318739578362)	(60, 35.0736313668082)	(62, 35.12472701063194)	(64, 35.065857781818075)	(66, 35.026535463331015)	(68, 34.67800904562108)	(70, 34.45594979231221)	(72, 34.42108342640147)	(74, 34.406938860706134)	(76, 34.402582474595306)	(78, 34.37247693022471)	(80, 34.3640252664071)	(82, 34.36135062602922)	(84, 34.318085128558536)	(86, 34.28651668322377)	(88, 34.2248491708647)	(90, 34.175717478020744)	(92, 34.13745611527942)	(94, 34.08325456292672)	(96, 33.972392416944125)	(98, 33.87152540385834)	(100, 33.83564059765621)
