Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR10868207_1	(13.0, 1.0)	(14.0, 3.0)	(15.0, 4.0)	(16.0, 36.0)	(17.0, 337.0)	(18.0, 1426.0)	(19.0, 3858.0)	(20.0, 7752.0)	(21.0, 13820.0)	(22.0, 22005.0)	(23.0, 35548.0)	(24.0, 57335.0)	(25.0, 89870.0)	(26.0, 133364.0)	(27.0, 186981.0)	(28.0, 250011.0)	(29.0, 322750.0)	(30.0, 404288.0)	(31.0, 501452.0)	(32.0, 622823.0)	(33.0, 813916.0)	(34.0, 1073940.0)	(35.0, 1316444.0)	(36.0, 1711813.0)	(37.0, 2586797.0)	(38.0, 4818122.0)	(39.0, 12146656.0)	(40.0, 17798984.0)									
SRR10868207_2	(4.0, 1.0)	(5.0, 1.0)	(6.0, 18.0)	(7.0, 51.0)	(8.0, 129.0)	(9.0, 135.0)	(10.0, 105.0)	(11.0, 164.0)	(12.0, 348.0)	(13.0, 3022.0)	(14.0, 3916.0)	(15.0, 4238.0)	(16.0, 7811.0)	(17.0, 16474.0)	(18.0, 29633.0)	(19.0, 43427.0)	(20.0, 59149.0)	(21.0, 77676.0)	(22.0, 96425.0)	(23.0, 113330.0)	(24.0, 129294.0)	(25.0, 147113.0)	(26.0, 168241.0)	(27.0, 195493.0)	(28.0, 229469.0)	(29.0, 271944.0)	(30.0, 326251.0)	(31.0, 525003.0)	(32.0, 745351.0)	(33.0, 581722.0)	(34.0, 661831.0)	(35.0, 815069.0)	(36.0, 1047175.0)	(37.0, 1426228.0)	(38.0, 2170598.0)	(39.0, 4775376.0)	(40.0, 30248125.0)
SRR10868208_1	(13.0, 3.0)	(14.0, 5.0)	(15.0, 106.0)	(16.0, 654.0)	(17.0, 2364.0)	(18.0, 4979.0)	(19.0, 7734.0)	(20.0, 10171.0)	(21.0, 12402.0)	(22.0, 15397.0)	(23.0, 20604.0)	(24.0, 30123.0)	(25.0, 45637.0)	(26.0, 70420.0)	(27.0, 104003.0)	(28.0, 148265.0)	(29.0, 201988.0)	(30.0, 267985.0)	(31.0, 348315.0)	(32.0, 537561.0)	(33.0, 1973107.0)	(34.0, 995253.0)	(35.0, 722812.0)	(36.0, 878900.0)	(37.0, 1177337.0)	(38.0, 1795994.0)	(39.0, 3866627.0)	(40.0, 35745210.0)									
SRR10868208_2	(4.0, 2.0)	(5.0, 5.0)	(6.0, 23.0)	(7.0, 78.0)	(8.0, 142.0)	(9.0, 194.0)	(10.0, 148.0)	(11.0, 187.0)	(12.0, 242.0)	(13.0, 562.0)	(14.0, 2713.0)	(15.0, 8405.0)	(16.0, 17729.0)	(17.0, 36466.0)	(18.0, 58484.0)	(19.0, 74966.0)	(20.0, 92699.0)	(21.0, 114533.0)	(22.0, 135522.0)	(23.0, 156598.0)	(24.0, 177367.0)	(25.0, 197322.0)	(26.0, 217731.0)	(27.0, 243591.0)	(28.0, 278959.0)	(29.0, 328020.0)	(30.0, 408493.0)	(31.0, 1035628.0)	(32.0, 1840691.0)	(33.0, 812717.0)	(34.0, 753103.0)	(35.0, 904733.0)	(36.0, 1156851.0)	(37.0, 1579644.0)	(38.0, 2436720.0)	(39.0, 5685154.0)	(40.0, 30227534.0)
SRR10868209_1	(9.0, 1.0)	(10.0, 2.0)	(11.0, 5.0)	(12.0, 3.0)	(13.0, 4.0)	(14.0, 173.0)	(15.0, 3259.0)	(16.0, 4126.0)	(17.0, 1591.0)	(18.0, 1349.0)	(19.0, 2291.0)	(20.0, 5054.0)	(21.0, 11781.0)	(22.0, 25300.0)	(23.0, 50752.0)	(24.0, 88745.0)	(25.0, 139185.0)	(26.0, 206594.0)	(27.0, 287577.0)	(28.0, 386616.0)	(29.0, 506741.0)	(30.0, 665592.0)	(31.0, 873018.0)	(32.0, 1014232.0)	(33.0, 1346762.0)	(34.0, 1963997.0)	(35.0, 3702999.0)	(36.0, 24163076.0)									
SRR10868209_2	(2.0, 509.0)	(3.0, 266.0)	(4.0, 361.0)	(5.0, 410.0)	(6.0, 395.0)	(7.0, 422.0)	(8.0, 483.0)	(9.0, 643.0)	(10.0, 1127.0)	(11.0, 1150.0)	(12.0, 1297.0)	(13.0, 1622.0)	(14.0, 1794.0)	(15.0, 5054.0)	(16.0, 8554.0)	(17.0, 13546.0)	(18.0, 21457.0)	(19.0, 32848.0)	(20.0, 47285.0)	(21.0, 68961.0)	(22.0, 99310.0)	(23.0, 137359.0)	(24.0, 182876.0)	(25.0, 234968.0)	(26.0, 295045.0)	(27.0, 367058.0)	(28.0, 451953.0)	(29.0, 612281.0)	(30.0, 673685.0)	(31.0, 776617.0)	(32.0, 972829.0)	(33.0, 1275229.0)	(34.0, 1820145.0)	(35.0, 3255022.0)	(36.0, 24088264.0)		
SRR10868210_1	(9.0, 1.0)	(10.0, 3.0)	(11.0, 6.0)	(12.0, 3.0)	(13.0, 14.0)	(14.0, 399.0)	(15.0, 8103.0)	(16.0, 8835.0)	(17.0, 3700.0)	(18.0, 3036.0)	(19.0, 4252.0)	(20.0, 8201.0)	(21.0, 17445.0)	(22.0, 37727.0)	(23.0, 73330.0)	(24.0, 127960.0)	(25.0, 201257.0)	(26.0, 297851.0)	(27.0, 411865.0)	(28.0, 549404.0)	(29.0, 714133.0)	(30.0, 913604.0)	(31.0, 1126482.0)	(32.0, 1424218.0)	(33.0, 1877536.0)	(34.0, 2682788.0)	(35.0, 4824195.0)	(36.0, 25706377.0)									
SRR10868210_2	(2.0, 130.0)	(3.0, 284.0)	(4.0, 227.0)	(5.0, 225.0)	(6.0, 281.0)	(7.0, 457.0)	(8.0, 580.0)	(9.0, 665.0)	(10.0, 836.0)	(11.0, 1194.0)	(12.0, 1141.0)	(13.0, 1156.0)	(14.0, 1879.0)	(15.0, 6172.0)	(16.0, 11479.0)	(17.0, 19690.0)	(18.0, 31928.0)	(19.0, 49433.0)	(20.0, 74689.0)	(21.0, 111804.0)	(22.0, 161830.0)	(23.0, 225163.0)	(24.0, 296794.0)	(25.0, 376140.0)	(26.0, 465197.0)	(27.0, 564804.0)	(28.0, 675597.0)	(29.0, 819775.0)	(30.0, 959638.0)	(31.0, 1144534.0)	(32.0, 1407581.0)	(33.0, 1802565.0)	(34.0, 2507636.0)	(35.0, 4321720.0)	(36.0, 24979501.0)		
SRR10868215_1	(10.0, 6.0)	(11.0, 2.0)	(12.0, 8.0)	(13.0, 18.0)	(14.0, 250.0)	(15.0, 6284.0)	(16.0, 10481.0)	(17.0, 4125.0)	(18.0, 3105.0)	(19.0, 4387.0)	(20.0, 8596.0)	(21.0, 16430.0)	(22.0, 33108.0)	(23.0, 62982.0)	(24.0, 108771.0)	(25.0, 170898.0)	(26.0, 250312.0)	(27.0, 350644.0)	(28.0, 472704.0)	(29.0, 627656.0)	(30.0, 900625.0)	(31.0, 1323476.0)	(32.0, 1128657.0)	(33.0, 1434308.0)	(34.0, 2046550.0)	(35.0, 3708326.0)	(36.0, 23067236.0)										
SRR10868215_2	(2.0, 2437.0)	(3.0, 625.0)	(4.0, 728.0)	(5.0, 695.0)	(6.0, 609.0)	(7.0, 543.0)	(8.0, 688.0)	(9.0, 845.0)	(10.0, 995.0)	(11.0, 1384.0)	(12.0, 1447.0)	(13.0, 1339.0)	(14.0, 1849.0)	(15.0, 5843.0)	(16.0, 9784.0)	(17.0, 18572.0)	(18.0, 37825.0)	(19.0, 61826.0)	(20.0, 90665.0)	(21.0, 127712.0)	(22.0, 175075.0)	(23.0, 229863.0)	(24.0, 290802.0)	(25.0, 356803.0)	(26.0, 432070.0)	(27.0, 529621.0)	(28.0, 661513.0)	(29.0, 1078914.0)	(30.0, 1038008.0)	(31.0, 909535.0)	(32.0, 1122006.0)	(33.0, 1444871.0)	(34.0, 2020469.0)	(35.0, 3508959.0)	(36.0, 21575025.0)		
