Sample	Unique Reads	Duplicate Reads
SRR10868207_1	10609251.0	34311085.0
SRR10868207_2	10970491.0	33949845.0
SRR10868208_1	11349034.0	37634922.0
SRR10868208_2	12492442.0	36491514.0
SRR10868209_1	7369390.0	28081435.0
SRR10868209_2	7584678.0	27866147.0
SRR10868210_1	7946268.0	33076457.0
SRR10868210_2	8644011.0	32378714.0
SRR10868215_1	8263008.0	27476937.0
SRR10868215_2	8978127.0	26761818.0
SRR10868216_1	8667550.0	26410896.0
SRR10868216_2	9587026.0	25491420.0
SRR10868217_1	7660677.0	36358290.0
SRR10868217_2	8289969.0	35728998.0
SRR10868218_1	5649351.0	24244277.0
SRR10868218_2	6115478.0	23778150.0
