Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10868207_1	(1.0, 16.899787112819048)	(2.0, 5.94056028983169)	(3.0, 3.347659371835611)	(4.0, 2.278367909848578)	(5.0, 1.8099930422920267)	(6.0, 1.3862172367898782)	(7.0, 1.3008277813986624)	(8.0, 1.0470570131507797)	(9.0, 1.004756985783962)	('>10', 16.384909947371334)	('>50', 8.042401957886506)	('>100', 19.952550821016082)	('>500', 7.322477762872132)	('>1k', 10.027594301011835)	('>5k', 1.660060707935949)	('>10k+', 1.5947777581560407)
SRR10868207_2	(1.0, 17.70207478522554)	(2.0, 5.909454677414437)	(3.0, 3.4010637704594093)	(4.0, 2.2764845166877423)	(5.0, 1.7832492848575072)	(6.0, 1.484184163846287)	(7.0, 1.2865198334913728)	(8.0, 1.069353144016762)	(9.0, 0.9928055560897869)	('>10', 16.298454141612822)	('>50', 8.122547690891452)	('>100', 19.718155173049983)	('>500', 7.141284762027397)	('>1k', 9.690677169088993)	('>5k', 1.5177155647313534)	('>10k+', 1.605975766509297)
SRR10868208_1	(1.0, 16.340640217329298)	(2.0, 6.238618803110149)	(3.0, 3.437180453581367)	(4.0, 2.3761315798098304)	(5.0, 1.8186697827649991)	(6.0, 1.4493056162919102)	(7.0, 1.1943533311148846)	(8.0, 1.04237427368786)	(9.0, 0.8742604060994873)	('>10', 15.168516963254936)	('>50', 7.242941541939018)	('>100', 17.78626985048929)	('>500', 7.147578035523767)	('>1k', 10.53783438752858)	('>5k', 1.7205008886999396)	('>10k+', 5.62482386877463)
SRR10868208_2	(1.0, 18.725344021042346)	(2.0, 6.2469137757562265)	(3.0, 3.388000170225357)	(4.0, 2.335114903419286)	(5.0, 1.7729188962134208)	(6.0, 1.4453377378536727)	(7.0, 1.1744429618993204)	(8.0, 1.0857587882147242)	(9.0, 0.9542398550055455)	('>10', 14.69539553891618)	('>50', 7.047053593872657)	('>100', 17.274391730122453)	('>500', 6.86454963374568)	('>1k', 10.058958018689935)	('>5k', 1.5173601967418153)	('>10k+', 5.414220178281232)
SRR10868209_1	(1.0, 14.937753132746959)	(2.0, 5.410619917878531)	(3.0, 2.849956908387776)	(4.0, 1.8376520571687827)	(5.0, 1.48643271340088)	(6.0, 1.2639788578570843)	(7.0, 0.9826725976422741)	(8.0, 0.8593311180741497)	(9.0, 0.8010210028705519)	('>10', 13.703204315675514)	('>50', 7.130192337618747)	('>100', 19.419600168617496)	('>500', 8.793978443674751)	('>1k', 15.58823422269385)	('>5k', 2.8112127134122447)	('>10k+', 2.1241594922803015)
SRR10868209_2	(1.0, 15.62759040337956)	(2.0, 5.417848505030582)	(3.0, 2.7234131044404313)	(4.0, 1.8442375723134594)	(5.0, 1.3846371999417517)	(6.0, 1.219776131597008)	(7.0, 1.001725934376988)	(8.0, 0.8407154355285149)	(9.0, 0.7891382412353363)	('>10', 13.383985382509374)	('>50', 7.0661496843932)	('>100', 19.20965834938023)	('>500', 8.760114352760045)	('>1k', 15.62919501891146)	('>5k', 2.8432706769178893)	('>10k+', 2.2585440072840806)
SRR10868210_1	(1.0, 14.625508863085363)	(2.0, 4.343058388566243)	(3.0, 2.2299965491096154)	(4.0, 1.5556083707709931)	(5.0, 1.2112483995014758)	(6.0, 1.0186721696269552)	(7.0, 0.8222376021332927)	(8.0, 0.7201233076105145)	(9.0, 0.6423502553691358)	('>10', 11.289909237383268)	('>50', 6.286091116963622)	('>100', 18.81965259228181)	('>500', 8.895654800805525)	('>1k', 17.304577945828996)	('>5k', 5.31127210032558)	('>10k+', 4.92403830063768)
SRR10868210_2	(1.0, 16.316277084323268)	(2.0, 4.357604202722986)	(3.0, 2.323752476714982)	(4.0, 1.5576248558340893)	(5.0, 1.159236196199425)	(6.0, 0.948784170785105)	(7.0, 0.8450151088295638)	(8.0, 0.7143766774487998)	(9.0, 0.6488671329992446)	('>10', 11.11398204852205)	('>50', 6.197853012275455)	('>100', 18.409578380858648)	('>500', 8.593836961386287)	('>1k', 16.78420797235678)	('>5k', 5.074498635097187)	('>10k+', 4.9545050836463576)
SRR10868215_1	(1.0, 16.57920797623116)	(2.0, 5.684948261423064)	(3.0, 3.2338147365983283)	(4.0, 2.2376653167565523)	(5.0, 1.8417074377786284)	(6.0, 1.5176949480116255)	(7.0, 1.2145613998026803)	(8.0, 1.123796911405936)	(9.0, 1.0032232667229368)	('>10', 16.180821389583624)	('>50', 7.398777049968057)	('>100', 16.674310544185236)	('>500', 5.999545959382177)	('>1k', 10.18862374671283)	('>5k', 3.4286878181361518)	('>10k+', 5.692613237301094)
SRR10868215_2	(1.0, 18.661198982624068)	(2.0, 5.684204777379514)	(3.0, 3.1363300395608316)	(4.0, 2.2070177601875023)	(5.0, 1.8001461893835526)	(6.0, 1.443804167292758)	(7.0, 1.2616278019392797)	(8.0, 1.1397922549981878)	(9.0, 1.0327692323461257)	('>10', 15.640120798269324)	('>50', 7.159797456956264)	('>100', 16.29638887969751)	('>500', 5.862902083969704)	('>1k', 9.999298900786577)	('>5k', 3.3888897467538253)	('>10k+', 5.285710927855184)
SRR10868216_1	(1.0, 17.788460606616532)	(2.0, 6.097385211967577)	(3.0, 3.4273460978657098)	(4.0, 2.4330314664435635)	(5.0, 1.8415799410829832)	(6.0, 1.517801966327123)	(7.0, 1.3416509678869375)	(8.0, 1.1788342956204174)	(9.0, 1.0020506917438403)	('>10', 16.828050938826028)	('>50', 7.466700345263602)	('>100', 15.980731903629858)	('>500', 5.25844445408923)	('>1k', 9.134831315527983)	('>5k', 2.991893594529978)	('>10k+', 5.711206202578644)
SRR10868216_2	(1.0, 20.419474262100266)	(2.0, 6.043136060927709)	(3.0, 3.4544121351876935)	(4.0, 2.4384636064514598)	(5.0, 1.887177172028712)	(6.0, 1.6311533296215524)	(7.0, 1.3718664635937619)	(8.0, 1.1502184407903535)	(9.0, 1.0408292009755324)	('>10', 16.47564152863153)	('>50', 7.269757226648949)	('>100', 15.413361806938711)	('>500', 4.957345454888816)	('>1k', 8.624929225096908)	('>5k', 2.8694299940941583)	('>10k+', 4.95280409202392)
SRR10868217_1	(1.0, 13.158762360860866)	(2.0, 4.006325011581935)	(3.0, 2.07979866089913)	(4.0, 1.372696550287114)	(5.0, 1.0515590445618335)	(6.0, 0.8623338672763289)	(7.0, 0.7141644944958128)	(8.0, 0.6338890284107329)	(9.0, 0.5569881031585859)	('>10', 8.995543285270701)	('>50', 4.656683525712434)	('>100', 15.452747108297817)	('>500', 9.580245184424243)	('>1k', 23.836045333527025)	('>5k', 6.644573710938409)	('>10k+', 6.397644730297104)
SRR10868217_2	(1.0, 14.546280063867577)	(2.0, 4.018891972616609)	(3.0, 2.1688502727592223)	(4.0, 1.4309336228468563)	(5.0, 1.0355966748679408)	(6.0, 0.8332896395929155)	(7.0, 0.7500322350805713)	(8.0, 0.5904876318994361)	(9.0, 0.5807957772644031)	('>10', 8.88631038728067)	('>50', 4.719891219780982)	('>100', 15.39381759676816)	('>500', 9.297628670608873)	('>1k', 23.127811626317683)	('>5k', 6.563360431616607)	('>10k+', 6.056022176831259)
SRR10868218_1	(1.0, 14.417637249696034)	(2.0, 4.189312009890691)	(3.0, 2.1830737714665256)	(4.0, 1.4536282938081106)	(5.0, 1.1126524639954183)	(6.0, 0.8761250340769368)	(7.0, 0.7832212802503655)	(8.0, 0.6422613798988308)	(9.0, 0.5663962550584624)	('>10', 9.866896786555426)	('>50', 5.339827588541676)	('>100', 17.64306645942006)	('>500', 10.239309295435351)	('>1k', 21.602278566149497)	('>5k', 5.051467338605505)	('>10k+', 4.0328462271509995)
SRR10868218_2	(1.0, 15.924917893013744)	(2.0, 4.260234317616252)	(3.0, 2.240388135089115)	(4.0, 1.4695399524198558)	(5.0, 1.0927929900762607)	(6.0, 0.8991420339650462)	(7.0, 0.7552117450142887)	(8.0, 0.65814025054188)	(9.0, 0.6072547558093834)	('>10', 9.832290713465818)	('>50', 5.205262479546943)	('>100', 17.60243592545434)	('>500', 9.915753278509834)	('>1k', 20.942416783235952)	('>5k', 4.749097492544622)	('>10k+', 3.845121253696721)
