Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10868207_1	76.38207587092337	46.0	100.0	100	20.0	44.920336
SRR10868207_2	75.577897386086	46.0	100.0	100	20.0	44.920336
SRR10868208_1	76.83112095787682	45.0	100.0	100	30.0	48.983956
SRR10868208_2	74.4968707280112	45.0	100.0	100	30.0	48.983956
SRR10868209_1	79.2123599586772	46.0	100.0	100	20.0	35.450825
SRR10868209_2	78.60507546639822	46.0	100.0	100	20.0	35.450825
SRR10868210_1	80.62959572160347	47.0	100.0	100	20.0	41.022725
SRR10868210_2	78.92872593807081	47.0	100.0	100	20.0	41.022725
SRR10868215_1	76.88019084033539	51.0	100.0	100	40.0	35.739945
SRR10868215_2	74.87929302610165	51.0	100.0	100	40.0	35.739945
SRR10868216_1	75.29095363528414	50.0	100.0	100	30.0	35.078446
SRR10868216_2	72.66975459427549	50.0	100.0	100	30.0	35.078446
SRR10868217_1	82.59687463420066	47.0	100.0	100	20.0	44.018966999999996
SRR10868217_2	81.16728019044012	47.0	100.0	100	20.0	44.018966999999996
SRR10868218_1	81.10182275872224	47.0	100.0	100	20.0	29.893628
SRR10868218_2	79.54253771435785	47.0	100.0	100	20.0	29.893628
