Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10868214,2020-10-09 17:10:05,2020-01-10 11:27:13,43394019,8678803800,43394019,200,3051,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868214/SRR10868214.lite.1,SRX7538237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976901,SAMN13819054,simple,7955,Danio rerio,GSM4259034,,,,,,,no,,,,,GEO,SRA1023469,,public,8E774F2B9AED330639ACE914E94C55C4,EB71CB9E3A5852EC20E0801898EEFD49
SRR10868215,2020-10-09 17:10:05,2020-01-10 11:19:30,35739945,7147989000,35739945,200,2491,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868215/SRR10868215.lite.1,SRX7538238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976902,SAMN13819053,simple,7955,Danio rerio,GSM4259035,,,,,,,no,,,,,GEO,SRA1023469,,public,F597B074CD6B1592D20FB98BD12B7B23,709BF18E51E344E712656ABDD81C5A76
SRR10868216,2020-10-09 17:10:05,2020-01-10 11:36:01,35078446,7015689200,35078446,200,2514,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868216/SRR10868216.lite.1,SRX7538239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976903,SAMN13819052,simple,7955,Danio rerio,GSM4259036,,,,,,,no,,,,,GEO,SRA1023469,,public,4510BF41A453360A480DD27E424E8BA7,DB418549446C6760DFAA48CA0AA2AD2A
SRR10868217,2020-10-09 17:10:05,2020-01-10 11:25:15,44018967,8803793400,44018967,200,3050,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868217/SRR10868217.lite.1,SRX7538240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976904,SAMN13819051,simple,7955,Danio rerio,GSM4259037,,,,,,,no,,,,,GEO,SRA1023469,,public,3A6B10EE888D06BE892D602354016553,0B99F919F09165CD77E34F870759808D
SRR10868218,2020-10-09 17:10:05,2020-01-10 11:17:19,29893628,5978725600,29893628,200,2073,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868218/SRR10868218.lite.1,SRX7538241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976905,SAMN13819050,simple,7955,Danio rerio,GSM4259038,,,,,,,no,,,,,GEO,SRA1023469,,public,B6723399F83FE3154CE5DA3BE60A5395,787D869791A18594A54A7C26506D3C4D
SRR10868209,2020-10-09 17:10:05,2020-01-10 11:31:46,35450825,7090165000,35450825,200,2390,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868209/SRR10868209.lite.1,SRX7538232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976896,SAMN13819059,simple,7955,Danio rerio,GSM4259029,,,,,,,no,,,,,GEO,SRA1023469,,public,7D9589A9FE75CFE5AA9E332583BDCA96,09C974C7E8D6D8B297E46413F1096ACF
SRR10868210,2020-10-09 17:10:05,2020-01-10 11:30:31,41022725,8204545000,41022725,200,2883,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868210/SRR10868210.lite.1,SRX7538233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976897,SAMN13819058,simple,7955,Danio rerio,GSM4259030,,,,,,,no,,,,,GEO,SRA1023469,,public,5C94CC6662DD94CCB7EDEBFB8F277994,E68BCE89B573C93A2D08494CC326F9AD
SRR10868211,2020-10-09 17:10:05,2020-01-10 11:13:25,30024745,6004949000,30024745,200,2107,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868211/SRR10868211.lite.1,SRX7538234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976898,SAMN13819057,simple,7955,Danio rerio,GSM4259031,,,,,,,no,,,,,GEO,SRA1023469,,public,12919EDFEDDCD57EE1289519BD341A97,B4BC21BBBDDF6984D0796B44148DAA70
SRR10868212,2020-10-09 17:10:05,2020-01-10 11:15:33,29604281,5920856200,29604281,200,2114,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR010/10868/SRR10868212/SRR10868212.lite.1,SRX7538235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976899,SAMN13819056,simple,7955,Danio rerio,GSM4259032,,,,,,,no,,,,,GEO,SRA1023469,,public,D194C93CAD7051D87ECC7BAC65EAFE9F,3DBB33015C1FFB07C45172A1182C94AE
SRR10868213,2020-10-09 17:10:05,2020-01-10 11:48:52,47812915,9562583000,47812915,200,3315,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868213/SRR10868213.lite.1,SRX7538236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976900,SAMN13819055,simple,7955,Danio rerio,GSM4259033,,,,,,,no,,,,,GEO,SRA1023469,,public,40C5CCDCFE593419117747461AEB24A4,20C8E4F02BC2800B6628D038104A7790
